Book Category,Book Title,Book Author,Concept Number,Concept Name (Title),Concept Theory (Explanation),Practical Application (Approach)
Wealth & Finance,The Psychology of Money,Morgan Housel,1,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,2,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,3,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,4,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,5,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,6,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,7,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,8,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,9,,,
Wealth & Finance,The Psychology of Money,Morgan Housel,10,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,1,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,2,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,3,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,4,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,5,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,6,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,7,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,8,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,9,,,
Wealth & Finance,Rich Dad Poor Dad,Robert Kiyosaki,10,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,1,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,2,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,3,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,4,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,5,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,6,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,7,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,8,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,9,,,
Wealth & Finance,Think and Grow Rich,Napoleon Hill,10,,,
Wealth & Finance,Atomic Habits,James Clear,1,,,
Wealth & Finance,Atomic Habits,James Clear,2,,,
Wealth & Finance,Atomic Habits,James Clear,3,,,
Wealth & Finance,Atomic Habits,James Clear,4,,,
Wealth & Finance,Atomic Habits,James Clear,5,,,
Wealth & Finance,Atomic Habits,James Clear,6,,,
Wealth & Finance,Atomic Habits,James Clear,7,,,
Wealth & Finance,Atomic Habits,James Clear,8,,,
Wealth & Finance,Atomic Habits,James Clear,9,,,
Wealth & Finance,Atomic Habits,James Clear,10,,,
Productivity,Deep Work,Cal Newport,1,,,
Productivity,Deep Work,Cal Newport,2,,,
Productivity,Deep Work,Cal Newport,3,,,
Productivity,Deep Work,Cal Newport,4,,,
Productivity,Deep Work,Cal Newport,5,,,
Productivity,Deep Work,Cal Newport,6,,,
Productivity,Deep Work,Cal Newport,7,,,
Productivity,Deep Work,Cal Newport,8,,,
Productivity,Deep Work,Cal Newport,9,,,
Productivity,Deep Work,Cal Newport,10,,,
Productivity,Getting Things Done,David Allen,1,,,
Productivity,Getting Things Done,David Allen,2,,,
Productivity,Getting Things Done,David Allen,3,,,
Productivity,Getting Things Done,David Allen,4,,,
Productivity,Getting Things Done,David Allen,5,,,
Productivity,Getting Things Done,David Allen,6,,,
Productivity,Getting Things Done,David Allen,7,,,
Productivity,Getting Things Done,David Allen,8,,,
Productivity,Getting Things Done,David Allen,9,,,
Productivity,Getting Things Done,David Allen,10,,,
Productivity,Essentialism,Greg McKeown,1,,,
Productivity,Essentialism,Greg McKeown,2,,,
Productivity,Essentialism,Greg McKeown,3,,,
Productivity,Essentialism,Greg McKeown,4,,,
Productivity,Essentialism,Greg McKeown,5,,,
Productivity,Essentialism,Greg McKeown,6,,,
Productivity,Essentialism,Greg McKeown,7,,,
Productivity,Essentialism,Greg McKeown,8,,,
Productivity,Essentialism,Greg McKeown,9,,,
Productivity,Essentialism,Greg McKeown,10,,,
Mindset,Mindset,Carol S. Dweck,1,,,
Mindset,Mindset,Carol S. Dweck,2,,,
Mindset,Mindset,Carol S. Dweck,3,,,
Mindset,Mindset,Carol S. Dweck,4,,,
Mindset,Mindset,Carol S. Dweck,5,,,
Mindset,Mindset,Carol S. Dweck,6,,,
Mindset,Mindset,Carol S. Dweck,7,,,
Mindset,Mindset,Carol S. Dweck,8,,,
Mindset,Mindset,Carol S. Dweck,9,,,
Mindset,Mindset,Carol S. Dweck,10,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,1,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,2,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,3,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,4,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,5,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,6,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,7,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,8,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,9,,,
Mindset,The Subtle Art of Not Giving a F*ck,Mark Manson,10,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,1,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,2,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,3,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,4,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,5,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,6,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,7,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,8,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,9,,,
Mindset,Man's Search for Meaning,Viktor E. Frankl,10,,,
